,ID,N
0,1364,5468.045796496994
1,214,2180.1841165733176
2,2013,2046.6545570353796
3,703,1158.328726745545
4,374,1066.7139590600066
5,239,837.7219400324791
6,1000,645.9947202738822
7,549,525.8476293135534
8,1139,400.32988715823865
9,557,381.9131219991198
10,555,374.96461774571463
11,50,340.2352974934249
12,1996,326.0471966564806
13,2260,239.46056708721613
14,2222,203.8276903836494
15,368,203.58647357995503
16,1310,188.54367943150936
17,1386,183.0668895874143
18,418,172.2668461003177
19,126,169.20548444356297
20,1604,165.11992584018938
21,2143,157.50133724891526
22,1718,153.94211020276273
23,932,145.609220460912
24,1772,136.16368730747
25,1668,127.74962204508196
26,1914,126.75687993245262
27,2297,121.46158890159505
28,1013,117.50248235284685
29,596,111.34473489196158
30,841,109.65375827698905
31,1646,107.43715176175213
32,212,105.33033359062094
33,2389,104.49411613381557
34,204,102.09879188596686
35,566,101.10700952102013
36,161,100.56250218628864
37,887,98.79929908925718
38,2108,96.89061851478266
39,384,91.60084532231583
40,1306,87.89582088994698
41,1160,86.96894504153434
42,2270,84.86659360907511
43,1260,83.83771422501499
44,2225,83.09817109410707
45,1323,79.54571975349565
46,150,76.9374732219386
47,31,76.56814324261813
48,1539,74.77515284183022
49,1638,72.05977938105742
50,1559,71.18859468697359
51,1169,70.29690974094572
52,200,68.59676192439062
53,1981,64.19226807374275
54,2063,61.38661122174466
55,8,61.37451826145434
56,1188,60.86336075571103
57,1734,59.45813575277107
58,564,57.62504345166527
59,1450,56.839162402566316
60,725,56.58051380836547
61,517,55.824552611078225
62,1538,55.19834658725319
63,2197,54.70246814870234
64,347,54.14182446473369
65,835,53.24034306839003
66,1126,45.5592593035545
67,781,45.13459737802866
68,1703,45.112014666457156
69,1687,43.83037997412087
70,854,43.786589961476956
71,2488,43.20096331900848
72,306,42.64374019943316
73,1172,40.30739594456143
74,680,39.66078003893405
75,748,39.61679362862976
76,1284,39.088137977546126
77,1234,38.71128691043727
78,585,38.70284064565832
79,196,38.13646599915623
80,23,37.25366710434909
81,687,37.12531741619167
82,2174,36.099575097949156
83,249,35.94201922605068
84,432,34.37324455654297
85,371,33.52890892496221
86,1380,33.08762126246252
87,2305,32.82265190257076
88,1762,32.81011199868228
89,256,32.718342175005986
90,900,31.879663596253142
91,1159,31.68101250884566
92,1591,31.11126762879416
93,350,30.900844187696848
94,450,30.259111011445373
95,2384,29.38708163545777
96,1910,29.258507964253607
97,2447,29.063491981287928
98,278,28.35874347727645
99,1700,28.15128218671454
100,2287,27.866301706305492
101,1779,27.802775626601516
102,2498,27.612637036881072
103,241,27.424814480339837
104,1922,26.97649540559845
105,2452,26.9371886318446
106,1097,26.365808456149324
107,1167,26.058059065076876
108,2354,25.96778972846422
109,2474,25.837920063135506
110,12,25.801614965705205
111,1643,25.69551642896307
112,800,25.59876981412232
113,2378,25.57613027052436
114,49,25.188615372954292
115,750,24.807316047672995
116,1043,24.612785341320507
117,2364,24.55933515511907
118,1716,23.830590268343677
119,1464,23.754858528451646
120,2245,23.670043918275518
121,1958,23.518223476314134
122,813,23.405636671598636
123,1881,23.292402148691853
124,1642,23.234281607585803
125,973,22.983488527179823
126,740,22.78586316141907
127,210,22.33661315925908
128,881,22.240937633580163
129,106,21.91434723712864
130,1556,21.384185648928646
131,1671,21.352032117373664
132,1975,21.2876739507781
133,1791,21.273766041347322
134,405,20.413396553243484
135,2300,20.379604695580696
136,713,20.316667822550304
137,747,20.152765578958274
138,1128,20.10388770715314
139,464,19.833606113079977
140,95,19.701879107251518
141,51,19.669714985790733
142,1936,19.542534356232295
143,2250,19.35597054411733
144,1911,19.353269387951908
145,327,19.107865186567686
146,2494,19.01187800669534
147,1880,18.98215691782329
148,389,18.958578398576982
149,560,18.907151256785866
150,2138,18.891211799775533
151,242,18.615314032559134
152,1735,18.53290402343571
153,2338,18.455409794899914
154,2153,18.440307216409494
155,1473,18.384419496869725
156,1440,17.98312372216987
157,67,17.982131010910027
158,2351,17.919998354314696
159,590,17.85954691014834
160,1500,17.634806249685116
161,1852,17.355379885851978
162,2053,17.064424112749347
163,1584,17.0150497457764
164,581,16.91988940665013
165,2432,16.91883479838154
166,758,16.671375260304732
167,2232,16.503631780948826
168,1545,16.18845612281744
169,1937,16.08052044259355
170,1582,16.06501295197926
171,649,16.061883944728514
172,128,16.03087153224524
173,1326,15.947799723006305
174,2278,15.893574517070672
175,2093,15.7251568188864
176,1044,15.349956966177567
177,447,15.299059081727105
178,2050,15.289287895014109
179,1932,15.203482921271608
180,948,15.034452351253536
181,970,14.967995006243191
182,872,14.924771466569466
183,2034,14.874556629637073
184,1863,14.821782432697399
185,2062,14.78778233943069
186,1421,14.55319118613799
187,1,14.378133367611607
188,2373,14.228293748948378
189,284,14.193748167226568
190,2399,14.174467241525496
191,1704,14.123432726000111
192,1778,13.949942620486855
193,22,13.869140103522787
194,2150,13.817575699833803
195,1822,13.760332281002032
196,2163,13.606782528225752
197,6,13.546879618205535
198,2151,13.274023563941292
199,1253,13.252323559091145
200,1630,13.019896516240603
201,1206,13.005614652720991
202,1680,12.928976368214999
203,646,12.91385756053935
204,1501,12.722841391972592
205,2422,12.710147633688706
