,E,N
0,999_998,3
1,999,1
2,997_997_997_996,1
3,997_996,3
4,994_993,2
5,993,2
6,992_991_990,1
7,992_991,3
8,992,3
9,991_992,1
10,991,2
11,990_989,1
12,99,1
13,987,1
14,986_985,2
15,986,1
16,985_986,1
17,985,1
18,984_983,1
19,982_981,3
20,982,1
21,981_980,2
22,980_979,1
23,980,2
24,98,1
25,979_980,1
26,979,1
27,978,1
28,977_976,2
29,977,2
30,976,1
31,975,3
32,974_975,1
33,974_974,1
34,973_972,1
35,973,4
36,96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96_96,1
37,968_968_968_967,1
38,968,2
39,967_967_967_967,1
40,966_966_965,1
41,966_965,2
42,966,3
43,963_962,1
44,963,3
45,962_963,1
46,962_962_962_962_963,1
47,961_961_961_961_960,1
48,961_960,4
49,95_95_95_95_95_94,1
50,95_95_95_94,1
51,958_958_958_958_957,1
52,958_958_958_958,1
53,958_958_957,1
54,958_958_956_958_958_957,1
55,958_957,3
56,957_958,1
57,956,3
58,955,2
59,953_952,1
60,953,3
61,951_951_951,1
62,951_949_949_949_951_949_67_68_67_951_951_69_69_69_68_951_951_949_951_949_950_949_949_951_949_68_72_72_71_71_71_71_70_72_72_72_70_67_68_67_68_69_69_68_72_72_72_72_72_72_71_70_69_68_951_951,1
63,946_948_948_948_948_948_948_948_945_948_948_948_948_948_948_948_948_948_947_945,1
64,944_940_941_942_940_940_940_940_940_940_940_940_940_941_944_944_940_940_944_944_943_940_940_940_940_940_942_943_943_944_942,1
65,944,2
66,943_944,1
67,94,1
68,93_92,2
69,939,3
70,938_937,1
71,937_938_938_938_938_936_935,1
72,933_933_934_933_933_934_933_933_933_933_933_932,1
73,933_933_932,1
74,933_932,1
75,930_931,1
76,930_930_931,1
77,930_930_930_930_930_930_930_930_930_930_930_931,1
78,92_92_91,1
79,929_928,2
80,927,1
81,926_926_925_924,1
82,926_926_924_925_924,1
83,926_926_924_924_927_926_924,1
84,926_925,2
85,926_924_925,1
86,925,2
87,924_923,2
88,924,4
89,923,1
90,922_922_921,1
91,922_921,2
92,922,1
93,91_90,1
94,919_918,2
95,917_916,1
96,915,2
97,913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_913_915_913_914,1
98,912_911,1
99,912,2
100,91,3
101,90_90_90_90_90_89,1
102,90_90_90_89,2
103,90_90_89,1
104,90_89,1
105,909_908,1
106,909,2
107,908_909_908_907,1
108,908_908_908_908_908_909_908_908_908_908_908_908_908_908_908_908_907,1
109,908_907,1
110,905_906_906_906_906_906_906_906_906_906_906_906_906_906_906_906_905,1
111,903_904,1
112,902_902_901,2
113,902_901,2
114,902,2
115,90,1
116,899,4
117,896,4
118,895_896,1
119,895_895_895_895_895_895_895_895_895_895_895_895_895_895_895_895_895_895,1
120,895_895_894,1
121,895_894,1
122,893,4
123,892_891,1
124,892,2
125,891_892,1
126,891_890,2
127,891,4
128,890_891,1
129,890_889_888,1
130,889_889_889,1
131,889_889_888,1
132,889_888,4
133,889,3
134,888,1
135,887_885_887_887_887_884_887_886_887_886_886_884_887_887_884_886_884_887_884_886_887_884_884_887_883,1
136,883,4
137,882_882_881,2
138,88,1
139,879_879_879_879_879_879_879_879_879_879_879_879_879_879_879_879_879_880,1
140,878_877,2
141,878,3
142,877_878,1
143,871_871_871_871_875_875_875_875_875_875_875_875_875_875_874_875_875_874_875_875_875_874_874_874_874_874_873_874_873_874_874_874_874_873_872_870,1
144,870,2
145,868,1
146,866_865,1
147,866_864_865,2
148,865_865_864_864_866_866_865_866,1
149,865_864,1
150,865,1
151,864_864_864_865_865_866,1
152,860_860_860_860_860_859,1
153,860_859,1
154,860,1
155,86,1
156,85_84,2
157,859_859_860,1
158,859,1
159,858_857,1
160,858,1
161,857_858,1
