,F,N
0,298,1
1,171,1
2,163,2
3,140,1
4,128,1
5,122,1
6,107,1
7,104,1
8,103,2
9,102,1
10,97,1
11,89,1
12,85,1
13,84,1
14,83,1
15,80,1
16,79,1
17,78,1
18,75,1
19,71,1
20,70,1
21,68,2
22,64,1
23,62,1
24,60,1
25,59,1
26,58,1
27,56,1
28,54,2
29,53,2
30,52,3
31,51,2
32,50,1
33,49,1
34,48,3
35,47,3
36,46,2
37,44,4
38,43,3
39,42,1
40,41,2
41,40,1
42,38,3
43,37,2
44,36,3
45,35,1
46,34,3
47,33,4
48,32,5
49,31,2
50,30,6
51,29,5
52,28,6
53,27,7
54,26,3
55,25,3
56,24,3
57,23,7
58,22,5
59,21,7
60,20,9
61,19,10
62,18,12
63,17,9
64,16,16
65,15,13
66,14,19
67,13,12
68,12,22
69,11,26
70,10,30
71,9,43
72,8,63
73,7,62
74,6,97
75,5,145
76,4,190
77,3,346
78,2,867
79,1,3799
