,F,L,P
0,112.32723881786532,4.721416386365562,-7.213768308118642
1,44.23155740826107,3.7894385028420783,-6.520621127558696
2,33.923845560574364,3.524118175976839,-6.115156019450532
3,33.16679322358465,3.501549171275629,-5.827473946998751
4,32.63187520440151,3.485289577676047,-5.604330395684541
5,31.766658479475787,3.4584172642630246,-5.422008838890586
6,28.62572641570084,3.354305838520129,-5.267858159063328
7,27.558572751231715,3.316313657838999,-5.1343267664388055
8,24.78411234700474,3.210202816709943,-5.016543730782422
9,24.705751303986922,3.2070360628446957,-4.911183215124596
10,23.80059475552522,3.1697105700931414,-4.815873035320271
11,23.16768383986768,3.142758369695642,-4.728861658330641
12,23.157596416255146,3.1423228656375466,-4.6488189506571045
13,22.975006347698532,3.1344069445289175,-4.574710978503383
14,22.96964655242502,3.1341736292262867,-4.505718107016431
15,22.485920117241513,3.112889340765957,-4.44117958587886
16,21.762149744311987,3.0801722105046863,-4.3805549640624255
17,21.540941135977477,3.069955363251817,-4.323396550222477
18,21.34471191357904,3.0608040234488536,-4.2693293289522005
19,21.167629365440597,3.0524730980281083,-4.21803603456465
20,19.68397090865408,2.979804645084233,-4.169245870395218
21,19.447790567943255,2.9677334681335044,-4.122725854760326
22,19.135960518074135,2.9515693145383617,-4.078274092189492
23,18.731955527500364,2.9302309171726497,-4.0357144777706955
24,18.155275119709515,2.8989611586875585,-3.9948924832504407
25,17.892905998446466,2.8844043213580313,-3.9556717700971595
26,17.19495123032656,2.8446158076095798,-3.9179314421143125
27,17.11110933029724,2.8397279210038664,-3.8815637979434374
28,16.862175652541225,2.8250729865107047,-3.8464724781321675
29,16.787089880462965,2.820610131496609,-3.812570926456486
30,16.552432108327544,2.8065330462121705,-3.7797811036334954
31,16.266137891572725,2.7890855169970274,-3.748032405318915
32,16.262873666363085,2.7888848207530126,-3.717260746652161
33,16.142914214942113,2.7814812050896696,-3.68740778350248
34,15.700664275171137,2.753703021979652,-3.6584202466292277
35,15.492535826477813,2.7403583483560707,-3.6302493696625313
36,15.278358882755285,2.7264373750092217,-3.602850395474417
37,14.792989786935843,2.6941534055114182,-3.5761821483922556
38,14.585259335957652,2.680011384166586,-3.550206661988995
39,14.359409450220241,2.6644054381379636,-3.524888854004705
40,14.295251958011423,2.659927451223103,-3.5001962414143337
41,14.207567313097226,2.653774732034486,-3.4760986898352733
42,14.150018494410064,2.6497159311138385,-3.452568192425079
43,14.063850298386315,2.643607696573479,-3.42957867420038
44,13.986921276961953,2.6381226984809025,-3.4071058183483216
45,13.521825516781142,2.604305084930533,-3.3851269116295466
46,13.378145442565492,2.5936224384090947,-3.363620706408583
47,13.239887284358417,2.5832340372066436,-3.3425672972107505
48,13.213567848198593,2.581244168986222,-3.3219480100080148
49,13.036910048110634,2.56778456891845,-3.3017453026904953
50,12.96079141909421,2.5619287553477923,-3.2819426753943155
51,12.91144633439411,2.558114230682116,-3.262524589537214
52,12.828277543520445,2.5516519173561703,-3.2434763945665197
