,T,N
0,30,11
1,29,3
2,28,1
3,27,1
4,26,1
5,25,3
6,24,1
7,23,2
8,22,4
9,21,3
10,20,3
11,19,6
12,18,5
13,17,5
14,16,10
15,15,7
16,14,11
17,13,4
18,12,13
19,11,13
20,10,23
21,9,32
22,8,34
23,7,42
24,6,79
25,5,113
26,4,172
27,3,342
28,2,928
29,1,4467
