,S,N
0,2933,1
1,2931,1
2,2914,1
3,2907,1
4,2900,3
5,2893,3
6,2892,1
7,2878,1
8,2854,1
9,2853,1
10,2851,4
11,2850,1
12,2849,4
13,2848,3
14,2847,7
15,2845,2
16,2837,1
17,2836,1
18,2835,4
19,2833,3
20,2832,1
21,2830,1
22,2821,1
23,2820,3
24,2819,4
25,2818,1
26,2815,3
27,2814,2
28,2813,6
29,2812,3
30,2811,1
31,2810,2
32,2809,2
33,2807,4
34,2803,5
35,2802,2
36,2801,2
37,2800,3
38,2797,2
39,2795,1
40,2794,5
41,2793,3
42,2791,1
43,2790,2
44,2789,4
45,2788,7
46,2787,3
47,2785,5
48,2783,9
49,2782,4
50,2781,6
51,2779,1
52,2778,2
53,2777,3
54,2776,6
55,2775,2
56,2774,1
57,2773,2
58,2772,3
59,2771,1
60,2770,2
61,2769,1
62,2768,2
63,2766,3
64,2765,2
65,2762,3
66,2760,2
67,2758,1
68,2755,1
69,2753,1
70,2752,4
71,2751,1
72,2750,1
73,2748,1
74,2745,3
75,2744,1
76,2743,1
77,2742,3
78,2741,3
79,2739,1
80,2737,4
81,2736,2
82,2735,1
83,2733,1
84,2725,6
85,2724,4
86,2723,4
87,2722,5
88,2720,1
89,2719,3
90,2718,4
91,2717,2
92,2716,4
93,2714,2
94,2713,2
95,2712,1
96,2711,2
97,2708,1
98,2707,2
99,2705,6
100,2704,3
101,2700,1
102,2699,3
103,2697,1
104,2696,5
105,2694,1
106,2693,1
107,2689,3
108,2688,3
109,2684,2
110,2683,2
111,2682,4
112,2681,4
113,2679,5
114,2678,5
115,2677,3
116,2676,5
117,2675,3
118,2674,2
119,2673,2
120,2672,2
121,2670,2
122,2669,1
123,2668,2
124,2667,3
125,2666,6
126,2663,3
127,2662,4
128,2661,3
129,2659,3
130,2656,5
131,2654,5
132,2653,4
133,2652,2
134,2651,3
135,2649,5
136,2648,6
137,2647,3
138,2646,1
139,2644,2
140,2643,4
141,2642,3
142,2641,1
143,2640,4
144,2639,3
145,2638,5
146,2637,2
147,2636,2
148,2635,2
149,2634,1
150,2633,3
151,2632,1
152,2631,4
153,2630,2
154,2629,7
155,2628,6
156,2627,1
157,2626,3
158,2625,4
159,2624,1
160,2623,1
161,2621,8
162,2619,3
163,2618,3
164,2617,1
165,2616,1
166,2615,1
167,2613,4
168,2612,4
169,2611,3
170,2610,3
171,2609,5
172,2608,2
173,2607,3
174,2606,7
175,2605,3
176,2604,4
177,2602,3
178,2601,5
179,2600,3
180,2599,4
181,2598,5
182,2596,3
183,2595,1
184,2594,1
185,2593,1
186,2592,2
187,2591,2
188,2588,1
189,2587,2
190,2584,3
191,2583,1
192,2582,5
193,2581,6
194,2578,3
195,2577,5
196,2575,5
197,2574,5
198,2572,4
199,2571,2
200,2570,5
201,2567,1
202,2566,3
203,2565,3
204,2564,1
205,2560,5
206,2557,3
207,2556,1
208,2555,3
209,2554,4
210,2552,3
211,2550,2
212,2549,4
213,2548,1
214,2547,2
215,2546,3
216,2545,4
217,2544,2
218,2543,1
219,2542,1
220,2541,7
221,2540,2
222,2539,4
223,2538,3
224,2537,7
225,2536,5
226,2535,3
227,2534,3
228,2533,3
229,2530,2
230,2529,1
231,2528,1
232,2527,7
233,2526,1
234,2524,3
235,2523,2
236,2522,1
237,2521,2
238,2520,2
239,2519,5
240,2518,5
241,2517,4
242,2516,1
243,2515,3
244,2513,3
245,2512,6
246,2511,2
247,2510,4
248,2508,2
249,2507,5
250,2506,3
251,2505,3
252,2504,1
253,2503,3
254,2502,6
255,2501,6
256,2500,1
257,2499,4
258,2498,2
259,2496,1
260,2495,4
261,2493,2
262,2490,2
263,2488,7
264,2487,4
265,2486,3
266,2485,6
267,2484,4
268,2483,5
269,2482,7
270,2481,4
271,2480,2
272,2479,2
273,2478,4
274,2477,1
275,2473,3
276,2468,2
277,2462,2
278,2461,2
279,2460,5
280,2459,4
281,2458,3
282,2457,3
283,2455,1
284,2452,2
285,2451,4
286,2449,5
287,2448,5
288,2447,1
289,2445,2
290,2441,3
291,2440,2
292,2439,3
293,2438,4
294,2437,1
295,2435,4
296,2433,4
297,2432,4
298,2431,3
299,2425,1
300,2421,1
301,2417,2
302,2416,1
303,2415,1
304,2414,2
305,2413,5
306,2412,4
307,2410,4
308,2409,2
309,2408,2
310,2407,6
311,2406,3
312,2405,2
313,2404,1
314,2403,1
315,2402,4
316,2401,3
317,2400,2
318,2399,1
319,2397,1
320,2396,5
321,2394,2
322,2393,1
323,2391,3
324,2390,1
325,2386,3
326,2384,4
327,2382,5
328,2381,5
329,2380,6
330,2379,7
331,2378,2
332,2376,2
333,2375,4
334,2374,1
335,2373,1
336,2372,1
337,2371,7
338,2368,2
339,2367,1
340,2366,1
341,2363,1
342,2362,2
343,2359,1
344,2358,2
345,2357,4
346,2356,1
347,2355,1
348,2354,2
349,2351,1
350,2350,1
351,2349,1
352,2348,1
353,2347,6
354,2346,1
355,2345,5
356,2344,7
357,2343,3
358,2342,4
359,2341,2
360,2338,4
361,2337,3
362,2335,1
363,2333,1
364,2332,1
365,2331,2
366,2330,1
367,2326,1
368,2325,1
369,2322,3
370,2321,4
371,2320,5
372,2319,1
373,2315,2
374,2314,5
375,2313,1
376,2310,1
377,2306,1
378,2305,1
379,2303,1
380,2301,3
381,2300,5
382,2299,4
383,2298,2
384,2297,3
385,2296,1
386,2295,1
387,2294,1
388,2293,2
389,2292,7
390,2291,1
391,2289,1
392,2288,1
393,2287,4
394,2284,1
395,2280,1
396,2279,1
397,2278,1
398,2276,1
399,2273,3
400,2271,1
401,2267,1
402,2265,3
403,2264,2
404,2263,4
405,2262,3
406,2261,4
407,2260,4
408,2259,7
409,2258,4
410,2257,1
411,2255,2
412,2254,4
413,2253,6
414,2252,2
415,2251,3
416,2250,2
417,2249,4
418,2248,4
419,2247,3
420,2246,3
421,2245,2
422,2242,2
423,2241,1
424,2239,1
425,2238,1
426,2237,2
427,2236,1
428,2235,3
429,2234,5
430,2233,3
431,2232,6
432,2231,1
433,2230,4
434,2228,1
435,2227,3
436,2226,4
437,2225,4
438,2224,1
439,2222,2
440,2221,2
441,2220,8
442,2219,4
443,2218,5
444,2217,3
445,2215,1
446,2214,7
447,2213,3
448,2212,5
449,2211,7
450,2210,4
451,2209,1
452,2208,2
453,2207,1
454,2206,4
455,2205,3
456,2204,1
457,2203,8
458,2202,1
459,2201,2
460,2200,2
461,2197,1
462,2196,1
463,2193,2
464,2192,3
465,2191,3
466,2190,1
467,2189,1
468,2188,7
469,2187,1
470,2186,1
471,2185,2
472,2182,1
473,2181,1
474,2180,1
475,2179,1
476,2178,3
477,2177,5
478,2176,1
479,2175,2
480,2174,3
481,2172,1
482,2170,4
483,2169,1
484,2168,2
485,2167,3
486,2164,2
487,2163,2
488,2162,1
489,2160,4
490,2156,2
491,2155,2
492,2154,6
493,2152,4
494,2151,1
495,2150,2
496,2149,1
497,2148,3
498,2147,3
499,2146,5
500,2145,3
501,2144,3
502,2143,7
503,2142,5
504,2141,4
505,2140,4
506,2139,4
507,2138,4
508,2137,3
509,2136,3
510,2135,3
511,2134,5
512,2133,2
513,2132,2
514,2128,2
515,2125,2
516,2124,2
517,2121,1
518,2119,4
519,2118,2
520,2117,4
521,2116,1
522,2113,1
523,2112,3
524,2111,2
525,2110,1
526,2109,1
527,2108,5
528,2106,1
529,2105,2
530,2104,2
531,2103,2
532,2102,2
533,2101,1
534,2100,4
535,2099,1
536,2098,3
537,2097,4
538,2095,2
539,2094,2
540,2093,3
541,2090,1
542,2088,1
543,2087,3
544,2086,3
545,2085,3
546,2084,3
547,2083,4
548,2082,1
549,2081,1
550,2080,3
551,2079,5
552,2078,4
553,2077,8
554,2076,3
555,2075,3
556,2074,4
557,2073,6
558,2072,2
559,2071,2
560,2070,6
561,2069,3
562,2067,1
563,2066,2
564,2065,2
565,2064,7
566,2063,5
567,2062,6
568,2061,3
569,2060,3
570,2059,4
571,2058,4
572,2057,1
573,2054,6
574,2053,4
575,2052,2
576,2051,2
577,2050,3
578,2048,2
579,2047,1
580,2045,1
581,2044,1
582,2043,2
583,2042,1
584,2041,5
585,2039,5
586,2038,5
587,2037,4
588,2034,1
589,2033,1
590,2031,2
591,2029,1
592,2028,1
593,2025,1
594,2023,4
595,2022,6
596,2021,4
597,2020,5
598,2019,2
599,2017,3
600,2016,1
601,2015,5
602,2014,2
603,2013,4
604,2012,3
605,2011,2
606,2010,2
607,2009,2
608,2008,6
609,2007,3
610,2006,1
611,2005,5
612,2004,5
613,2003,7
614,2001,1
615,2000,2
616,1999,1
617,1998,1
618,1997,2
619,1996,2
620,1995,4
621,1994,4
622,1991,4
623,1990,3
624,1989,1
625,1987,5
626,1986,7
627,1984,1
628,1983,3
629,1982,4
630,1980,7
631,1979,3
632,1977,1
633,1976,2
