,F,N
0,153,1
1,138,1
2,100,1
3,91,1
4,83,1
5,79,1
6,75,1
7,71,1
8,67,1
9,64,1
10,63,1
11,59,1
12,55,2
13,51,1
14,50,2
15,46,2
16,43,1
17,40,2
18,39,1
19,38,1
20,37,2
21,36,1
22,33,1
23,32,2
24,31,1
25,30,1
26,29,3
27,28,1
28,27,1
29,25,3
30,24,2
31,23,6
32,22,4
33,21,4
34,20,6
35,19,6
36,18,12
37,17,6
38,16,12
39,15,11
40,14,11
41,13,16
42,12,12
43,11,24
44,10,19
45,9,39
46,8,57
47,7,62
48,6,73
49,5,98
50,4,215
51,3,387
52,2,872
53,1,4058
