,T,N
0,30,7
1,28,1
2,22,2
3,21,1
4,20,3
5,19,5
6,18,4
7,17,4
8,16,5
9,15,6
10,14,6
11,13,15
12,12,10
13,11,15
14,10,21
15,9,16
16,8,29
17,7,48
18,6,55
19,5,96
20,4,155
21,3,306
22,2,900
23,1,4342
