,F,L,P
0,304.80949941176976,5.719686989375953,-7.22402480828583
1,153.1802448367051,5.031615298839649,-6.530877627725885
2,84.23116199094784,4.433564947684423,-6.125412519617721
3,53.638703575530336,3.982270889134273,-5.83773044716594
4,51.15361171772023,3.9348331002219554,-5.61458689585173
5,47.48275757910211,3.8603666468060593,-5.432265339057776
6,46.69725583696734,3.8436854014272837,-5.278114659230518
7,43.36131953929393,3.7695677888476293,-5.144583266605995
8,40.36944328182799,3.6980731443765977,-5.026800230949611
9,31.124240399497985,3.4379869496516626,-4.921439715291785
10,31.02884814396476,3.43491735704828,-4.82612953548746
11,27.265744149230336,3.3056311212104257,-4.73911815849783
12,26.233068920435503,3.2670207874326156,-4.659075450824294
13,25.86452166085651,3.2528722096002043,-4.584967478670572
14,25.86300405983971,3.252813532870703,-4.515974607183621
15,24.310897290128345,3.190924697977111,-4.45143608604605
16,23.54421909790882,3.158880316779344,-4.390811464229614
17,22.510935413031575,3.114001209498666,-4.333653050389666
18,21.83532400390844,3.083529025568372,-4.27958582911939
19,19.847801494289214,2.9880932450441025,-4.22829253473184
20,19.79778926887895,2.985570278379898,-4.179502370562408
21,19.66632781569476,2.9789079253787407,-4.132982354927515
22,18.98699198245305,2.9437541121961153,-4.088530592356681
23,18.332400888861294,2.9086700346633507,-4.045970977937885
24,17.968345513179422,2.888611627173373,-4.00514898341763
25,17.372305286017323,2.8548772879706923,-3.9659282702643486
26,16.9913443551647,2.832704058813953,-3.9281879422815016
27,16.45541204361223,2.8006544227145618,-3.891820298110627
28,16.393766152177285,2.796901149896902,-3.8567289782993566
29,16.375596494588166,2.7957922080082853,-3.8228274266236753
30,16.074690620832683,2.777246023956062,-3.7900376038006844
31,15.620048690907044,2.7485552616222413,-3.758288905486104
32,15.365335505091291,2.732114031015468,-3.7275172468193505
33,15.221053390674943,2.72267956098962,-3.697664283669669
34,15.129484204625323,2.7166454363153445,-3.6686767467964168
35,15.08810693668407,2.7139068133980686,-3.6405058698297204
36,14.992584730788044,2.7075557275895332,-3.613106895641606
37,14.916764864627655,2.702485739134616,-3.5864386485594446
38,14.612079516668746,2.68184855079263,-3.560463162156184
39,14.541416020662354,2.6770008553044904,-3.5351453541718945
40,14.532836609107962,2.6764106828304004,-3.5104527415815228
41,14.33981998901915,2.663040282025679,-3.4863551900024623
42,14.32694278479439,2.6621418753801502,-3.462824692592268
43,14.117484971338783,2.6474140980230296,-3.4398351743675692
44,14.09799638964037,2.6460326872614517,-3.417362318515511
45,14.057493581269211,2.6431556045786886,-3.3953834117967356
46,13.868842539523579,2.6296447801973586,-3.373877206575772
47,13.703690949845019,2.617665208946523,-3.3528237973779396
48,13.55347638704752,2.6066430743495457,-3.332204510175204
49,13.534639679740376,2.6052523013406774,-3.3120018028576843
50,13.458529505800632,2.5996130690508776,-3.292199175561505
51,13.347738801020803,2.5913469922994623,-3.272781089704403
52,13.017353969088614,2.56628338794618,-3.2537328947337087
53,12.925907738375441,2.5592336491373286,-3.235040761721556
54,12.909522269400759,2.5579651994798835,-3.2166916230533595
55,12.687223367770052,2.540595453038793,-3.1986731175506815
56,12.493720821504036,2.525226183816445,-3.1809735404512804
57,12.489132460154073,2.5248588629704374,-3.163581797739411
58,12.338436387025542,2.51271929951077,-3.146487364380111
59,12.222483592293196,2.5032771730515337,-3.12968024606373
60,12.141988198883528,2.4966695447825127,-3.1131509441125194
61,12.001341648198828,2.485018447554966,-3.096890423240739
62,11.97153309950234,2.4825315898566145,-3.0808900818942977
63,11.808534922912472,2.468822568569191,-3.0651417249261588
64,11.593045379830254,2.4504053820970833,-3.0496375383901935
65,11.360789069344742,2.430167871210391,-3.034370066259405
66,11.309447396748885,2.4256384292304545,-3.0193321888948645
67,10.947709832501008,2.393130286671273,-3.0045171031097238
68,10.815683692559633,2.380997274472061,-2.989918303688571
69,10.798905791026623,2.3794448133517143,-2.9755295662364714
70,10.73845880476786,2.373831578296375,-2.9613449312445153
71,10.621826713559287,2.362911007948784,-2.9473586892697754
72,10.599221040552454,2.360780511677404,-2.9335653671374393
73,10.519541369754371,2.353234610328276,-2.9199597150816605
74,10.510886361210733,2.3524115163671837,-2.90653669474952
75,10.509980470958316,2.352325326748058,-2.893291467999499
76,10.443985980143278,2.346026308452151,-2.8802193864321466
77,10.293066612433229,2.3314705241482003,-2.867315981596239
78,10.273748862928029,2.3295919878031635,-2.854576955818809
79,10.15457993072514,2.317924828418528,-2.841998173611949
80,10.037304020836778,2.3063085543835684,-2.8295756536133916
81,10.001270155410827,2.3027121004693374,-2.8173055610215774
82,9.961618084317024,2.2987395166663536,-2.8051842004892324
83,9.780916158529973,2.28043315640064,-2.793208009442517
84,9.725323332201901,2.274733136479011,-2.781373551795514
85,9.69043861862572,2.2711396899582956,-2.7696775120323225
86,9.57147209381925,2.2587870174407585,-2.7581166896312466
87,9.493080833088596,2.2505631998838025,-2.746687993807624
