,T,N
0,30,38
1,29,2
2,28,2
3,27,3
4,26,3
5,25,4
6,24,5
7,23,5
8,22,6
9,21,2
10,20,4
11,19,5
12,18,13
13,17,13
14,16,6
15,15,7
16,14,17
17,13,20
18,12,21
19,11,18
20,10,32
21,9,38
22,8,46
23,7,57
24,6,93
25,5,123
26,4,199
27,3,390
28,2,1014
29,1,4278
