,F,L,P
0,1582.5528354062335,7.366794540763505,-8.533066540572527
1,840.5600740026915,6.734068424420265,-7.8399193600125825
2,561.0923447266105,6.329885499332204,-7.434454251904418
3,471.05643224374217,6.154977900520313,-7.146772179452637
4,452.3497390300416,6.11445563955115,-6.923628628138427
5,450.70826373459835,6.110820264861546,-6.7413070713444725
6,393.8526825040023,5.975976937104944,-6.587156391517214
7,346.54295102893184,5.848006767741404,-6.453624998892692
8,331.96063725973454,5.805016399416724,-6.335841963236308
9,302.07926351363346,5.710689444903427,-6.230481447578482
10,287.9362952496354,5.662739258618394,-6.135171267774157
11,273.4694822432294,5.611190033344603,-6.048159890784527
12,249.4232567639516,5.51915127975621,-5.968117183110991
13,234.79892311100525,5.458729501533735,-5.894009210957269
14,232.25291398428703,5.447826924372125,-5.825016339470317
15,211.74208626091118,5.355368959803839,-5.760477818332746
16,208.44562582823372,5.339678219833348,-5.699853196516312
17,206.49890416313997,5.330295105670977,-5.6426947826763625
18,201.0827310406525,5.303716420593354,-5.588627561406087
19,196.805750417548,5.282217203792631,-5.537334267018537
20,191.79085501099584,5.256405481495079,-5.488544102849104
21,191.02933947763395,5.252427026080392,-5.442024087214212
22,176.61715546403286,5.173984426509722,-5.397572324643378
23,172.20552589796196,5.148688681478537,-5.355012710224582
24,168.61762763026965,5.127633593069673,-5.314190715704327
25,167.45615219988557,5.120721539084172,-5.274970002551045
26,166.44053656488123,5.114638107883164,-5.237229674568199
27,163.76845192124335,5.098453551655563,-5.200862030397324
28,162.9535728188018,5.09346533090268,-5.165770710586053
29,150.37597014592978,5.013138625784787,-5.131869158910372
30,149.01834766458674,5.0040694370530145,-5.099079336087382
31,142.7419748757899,4.961038628922831,-5.067330637772801
32,141.4635514471242,4.9520420969559575,-5.036558979106047
33,141.19689085046895,4.95015530534411,-5.006706015956366
34,139.63751199717603,4.939049864813541,-4.977718479083114
35,139.2393744874408,4.9361945705993415,-4.949547602116418
36,139.18431707786692,4.935799076882683,-4.922148627928303
37,138.5220430540403,4.93102946858832,-4.895480380846142
38,136.96712949007477,4.919740966310761,-4.869504894442882
39,134.19126518268465,4.8992661343617705,-4.844187086458591
40,133.1214952568078,4.891262209407711,-4.81949447386822
41,131.44702450829266,4.878603914999516,-4.795396922289159
42,126.65462966763181,4.841463930597037,-4.771866424878965
43,124.71322937654868,4.82601693668638,-4.748876906654266
44,124.50491082766766,4.824345159525789,-4.726404050802208
45,122.73394998461173,4.8100190044361035,-4.704425144083433
46,122.42793528962002,4.807522573528197,-4.682918938862469
47,120.91361970299612,4.795076403906156,-4.661865529664636
48,119.23327063671546,4.781081831765431,-4.641246242461901
49,118.76763835671969,4.777168965415009,-4.6210435351443815
50,117.34725027985795,4.765137490236036,-4.601240907848202
51,116.34627101955752,4.756570839553199,-4.5818228219911
52,111.44146979133218,4.713499518466881,-4.5627746270204055
53,110.63526611578806,4.706238900069015,-4.544082494008253
54,110.10245481775789,4.701411339735825,-4.525733355340057
55,110.09202555410113,4.701316611987455,-4.507714849837378
56,109.99044622306636,4.700393509502939,-4.490015272737978
57,109.10026579381612,4.692267329076352,-4.472623530026108
58,108.04950357429867,4.682589488535109,-4.455529096666808
59,107.67970420908841,4.679161118948815,-4.438721978350427
60,106.97996909633522,4.6726416122297705,-4.4221926763992165
61,105.75914302584079,4.661164273062234,-4.405932155527436
62,104.36218714060482,4.647867417701322,-4.389931814180995
63,103.52382813441646,4.639801809728988,-4.3741834572128555
64,102.96105522045079,4.63435081207423,-4.35867927067689
65,102.69207308992834,4.631734928852652,-4.343411798546102
66,102.4216423643431,4.629098041488174,-4.328373921181561
67,101.70935010812296,4.622119236961432,-4.313558835396421
68,101.6633674469142,4.621667036070918,-4.298960035975268
69,101.45200988636235,4.619585877671065,-4.2845712985231685
70,100.85915471760475,4.613725035863954,-4.270386663531212
71,100.67135707060854,4.611861321037962,-4.256400421556473
72,99.66598845515125,4.601824479901611,-4.242607099424136
73,99.35267976474857,4.5986759416058645,-4.229001447368358
74,97.42777822699847,4.579111367389889,-4.215578427036217
75,97.24244276864815,4.577207270159216,-4.202333200286197
76,96.90220721889187,4.573702296954036,-4.189261118718844
77,95.77913223303612,4.562044834871711,-4.176357713882936
78,95.67431191310283,4.5609498393664145,-4.163618688105506
79,95.01179324299483,4.554001023295829,-4.151039905898646
80,93.78302738771809,4.540983894945876,-4.138617385900089
81,92.19499025868461,4.523905793497213,-4.1263472933082745
82,91.07596381563147,4.511693925497226,-4.11422593277593
83,90.26674856167918,4.502769159626015,-4.102249741729214
84,89.67299871793624,4.49616970611257,-4.090415284082211
85,89.48951040778832,4.494121416264485,-4.07871924431902
86,89.27157763431329,4.491683157649801,-4.067158421917944
87,89.24807655027442,4.4914198691700875,-4.055729726094321
88,89.0062115002301,4.488706159434199,-4.044430170840387
89,88.7099712947758,4.485372298947456,-4.033256870242263
90,88.44144442434038,4.482340688107576,-4.022207034055677
91,87.94009875908937,4.476655886780113,-4.011277963523487
92,87.56788398728817,4.472414309570703,-4.000467047419272
93,87.11368771573368,4.467214020946149,-3.9897717583025236
94,86.67911991024901,4.46221302329692,-3.9791896489719867
95,86.25922610772523,4.457357019555585,-3.9687183491046913
96,85.7974074434526,4.45198878976062,-3.9583555620691446
97,85.20895208351737,4.445106499718443,-3.9480990619019556
98,85.08833414860085,4.443689942147211,-3.9379466904379377
99,84.91068637062216,4.4415999554861045,-3.927896354584436
100,84.1593446959346,4.432711962551465,-3.917946023731268
101,84.00627597643816,4.430891510057577,-3.9080937272882563
102,83.80481669603142,4.428490484309142,-3.8983375523428916
103,81.8382178110595,4.404744344904054,-3.888675641431155
104,81.33627043015503,4.3985920478192435,-3.879106190415004
105,81.22237434301154,4.39719075530798,-3.8696274464604605
106,81.0192625684624,4.394686935887435,-3.8602377061106212
107,80.63988490350286,4.389993377034129,-3.850935313448308
108,80.42306765107347,4.38730104611681,-3.841718658343384
109,80.16193014320805,4.384048715679504,-3.8325861747801113
110,79.74210461798589,4.378797735108617,-3.8235363392601935
111,79.70424117020313,4.3783227985610615,-3.814567669277433
112,79.06049965584285,4.370213377806105,-3.805678721860187
113,78.70449390316637,4.365700255485193,-3.7968680921780322
114,78.6451904993182,4.364946476958325,-3.7881344122092773
115,78.04593024665688,4.357297502701977,-3.779476349466163
116,77.65960455052789,4.352335232229366,-3.7708926057747716
117,77.61423806912717,4.351750890630984,-3.762381916106863
118,77.23618802941044,4.346868104056204,-3.7539430474609983
119,76.87850685112757,4.342226342661875,-3.7455747977904816
120,76.87196753058979,4.3421412785920825,-3.7372759949757866
121,76.44010382237693,4.336507477591675,-3.729045495839271
122,75.9988493604414,4.330718200177528,-3.72088218520011
123,75.96136304139293,4.330224829982575,-3.712784974967491
124,75.27058900593389,4.3210894742574055,-3.7047528032702264
125,75.23446252350482,4.32060940421649,-3.6967846336210495
126,74.82789025716441,4.3151906798843696,-3.6888794541139363
127,74.34539550475539,4.3087217409918575,-3.6810362766529106
128,74.02836105942025,4.304448277339484,-3.6732541362108555
129,74.01888469087604,4.3043202591719165,-3.6655320901169453
130,73.5522533235226,4.297996083199808,-3.657869217371376
131,73.0159155804311,4.290677439034866,-3.650264617986157
132,72.69891502641292,4.286326460444794,-3.6427174123507737
133,72.21592157471028,4.279660542013076,-3.6352267406216163
134,70.33094860580722,4.253211938154562,-3.6277917621340983
135,70.2330058144176,4.251818368833831,-3.6204116548364755
136,69.90270991557321,4.247104416951423,-3.613085614744403
137,69.86148921941498,4.246514556348944,-3.605812855415323
138,69.7068782129471,4.244298996010204,-3.598592607441836
139,69.6821972083065,4.243944864887317,-3.591424117963223
140,69.65745871895867,4.243589783063078,-3.5843066501943595
141,69.52545946153985,4.241693008678412,-3.577239482971267
142,69.45310222781052,4.240651736709736,-3.57022191031262
143,69.44069675977522,4.240473104284693,-3.563253240996527
144,68.56583167073242,4.227794330046924,-3.5563327981519532
145,68.5402028482964,4.227420476002871,-3.549459918864191
146,68.47888356908368,4.226525428679032,-3.5426339537937914
147,68.43239659478607,4.225846346925821,-3.5358542668084123
148,68.1505760989164,4.221719611502504,-3.5291202346270683
149,68.0252638343543,4.219879163152848,-3.522431246476272
150,67.75826666797501,4.215946469555796,-3.515786703757603
151,67.7064832883291,4.215181940300991,-3.509186019726251
152,67.56738527406372,4.2131254002645715,-3.502628619180092
153,67.52404268467217,4.2124837223796945,-3.4961139381588984
154,67.3926314801202,4.210535686721055,-3.489641423653281
155,66.94177493307434,4.203823210715109,-3.4832105333229904
156,66.21263776238783,4.192871347478453,-3.4768207352242193
157,65.53976437248731,4.182657048093124,-3.470471507545561
158,65.50401420904069,4.182111426397528,-3.464162338352296
159,65.4969033435045,4.1820028643252,-3.457892725338701
160,65.14052092365797,4.176546796801957,-3.4516621755880648
161,65.07199349034919,4.1754942491272,-3.4454702053401434
162,64.86966394298022,4.172380086742611,-3.439316339765765
163,64.83475860010184,4.171841857697885,-3.433200112748329
164,64.71141790361702,4.169937660490639,-3.427121066671947
165,64.55027012723303,4.167444302059001,-3.4210787522159842
166,64.52623513680905,4.167071887409989,-3.4150727281557725
167,64.41992055353073,4.165422910644464,-3.4091025611692687
168,63.93710033868931,4.157899792880021,-3.403167825649454
169,63.59308321132261,4.15250470989292,-3.397268103522266
170,63.52126196982111,4.151374684024606,-3.3914029840698676
171,63.444198035155814,4.150160748453058,-3.3855720637590747
172,63.358978774753126,4.148816629553568,-3.3797749460747486
173,63.288387181376926,4.147701855469578,-3.3740112413579983
174,63.14645687378457,4.145456740710746,-3.3682805666490134
175,63.13377093246459,4.145255823408283,-3.3625825455343756
176,62.976927291602536,4.142768425845052,-3.3569168079986986
177,62.94108137155115,4.142199072479314,-3.3512829902804424
178,62.79367905178256,4.139854416366718,-3.3456807347317725
179,62.77041331010712,4.139483836824365,-3.340109689682317
180,62.763773607764755,4.139378053650688,-3.334569509306702
181,62.70294212500182,4.138408370381715,-3.3290598534957323
182,62.35858607966219,4.132901370418451,-3.3235803877311065
183,61.86320055840428,4.1249255046576785,-3.318130782963542
184,61.84684068124807,4.124661017198332,-3.312710715494203
185,61.78078358383047,4.123592370864687,-3.307319866859326
186,61.65616810199958,4.121573274921949,-3.301957923717941
187,61.061070857425435,4.111874524942423,-3.296624577742578
188,60.86511756425129,4.108660228417261,-3.2913195255128853
189,60.24172130870078,4.0983651572650235,-3.2860424684120413
190,60.18748683300515,4.097464470792051,-3.2807931125258976
191,60.13308909604803,4.096560257356511,-3.275571168544746
192,59.8634230693507,4.092065685376124,-3.2703763516676423
193,59.74448569897766,4.090076896995818,-3.2652083815091992
194,59.609151601320065,4.087809112641374,-3.2600669820087806
195,59.54647499580038,4.086757100024091,-3.25495188134201
196,59.53279610317712,4.086527355710792,-3.249862811834539
197,59.33133239816104,4.083137537428822,-3.2447995098779923
198,59.19526478143074,4.080841551890689,-3.239761715848035
199,59.00811487452687,4.077674974694145,-3.2347491740244907
200,58.0327714303548,4.061007875641378,-3.2297616325134517
201,58.011527471155276,4.060641740301031,-3.224798843171323
202,57.87427689177675,4.058273018017791,-3.2198605615307403
203,57.83369454127453,4.057571556369753,-3.2149465467283114
204,57.74956392602417,4.056115798308877,-3.2100565614341194
205,57.58995341635949,4.0533481326340635,-3.2051903717829466
206,57.35296634720393,4.04922456581586,-3.2003477473071587
207,57.00274724985851,4.043099464039033,-3.1955284608712096
208,56.852808738441546,4.0404656251052415,-3.1907322886077165
209,56.728662091523006,4.038279587269135,-3.185959009855059
210,56.44674616280027,4.033297647885651,-3.1812084070964612
211,55.90335487133416,4.023624393947563,-3.176480265900515
212,55.830390059364106,4.0223183458528355,-3.1717743748631024
213,55.72667400321552,4.020458919255281,-3.167090525550676
214,55.584542029912875,4.017905141556788,-3.1624285124448646
215,55.23096787745065,4.011523808247153,-3.1577881328883626
216,55.18300567226553,4.010655037625829,-3.153169187032068
217,55.15985022048152,4.010235337556685,-3.1485714777834386
218,55.13100474580196,4.009712257463669,-3.143994810756027
219,54.92681174911658,4.006001603600418,-3.139438994220166
220,54.7153688488517,4.002144636122503,-3.134903839054775
221,54.65620379424969,4.00106272683029,-3.130389158700248
222,54.581634947200484,3.9996974698920194,-3.1258947691124086
223,54.36141774307876,3.995654669573437,-3.121420488717488
224,54.27817306620777,3.9941221768137942,-3.1169661383681073
225,54.20688885186876,3.9928080009569897,-3.1125315413002417
226,54.06777623452977,3.990238375019575,-3.108116523091125
227,54.060416652541235,3.9901022480428194,-3.103720911618087
228,53.9581677194538,3.9882090744890064,-3.099344537018288
229,53.89873170264852,3.987106947074996,-3.0949872316493323
230,53.89564294824277,3.987049638807907,-3.090648830050734
231,53.80135126994685,3.9852985833940866,-3.0863291689062176
232,53.663371765988494,3.982730678766752,-3.082028087006827
233,53.36840874453903,3.977218974359653,-3.077745425214826
234,53.350180978569995,3.976877370030106,-3.0734810264283685
235,53.255300817483764,3.975097345503413,-3.0692347355469174
236,53.19554358256532,3.973974625593914,-3.0650063994373964
237,53.10728402107874,3.972314094378395,-3.060795866901053
238,52.957917141866226,3.9694975819630978,-3.056602988641017
239,52.87672042822223,3.967963174486697,-3.0524276172305362
240,52.79134908958044,3.966347334288115,-3.0482696070818727
241,52.781749232328956,3.966165472479936,-3.044128814415841
242,52.71501263634756,3.9649002847395463,-3.040005097231979
243,52.62485839783143,3.9631886012213755,-3.0358983152793257
244,52.5663894944336,3.9620769325114638,-3.0318083300278005
245,52.55248770599777,3.961812435993101,-3.0277350046401645
246,52.51481596062321,3.9610953385579477,-3.0236782039445504
247,52.50006387667386,3.9608143862953877,-3.0196377944075454
248,52.459034844815065,3.960032576343732,-3.01561364410782
249,52.38144295045814,3.9585523864370207,-3.011605622710281
250,52.25191518255726,3.9560765443847936,-3.0076136014407435
251,52.23932525748026,3.9558355686803246,-3.003637453061104
252,52.07035270310566,3.952595740785546,-2.9996770518450075
253,51.94929479630389,3.9502681427909994,-2.995732273553991
254,51.92165845845419,3.9497360144599147,-2.991802995414101
255,51.883747574748476,3.949005592281727,-2.987889096092965
256,51.795710735798835,3.947307341508762,-2.983990455677308
257,51.65969465490914,3.944677876982575,-2.98010695565091
258,51.541880061159446,3.942394682268653,-2.9762384788729896
259,51.25094387485013,3.936734034919172,-2.972384909557
260,50.92774872148787,3.930407936532275,-2.968546133249834
261,50.861902315358634,3.9291141622704853,-2.964722036811431
262,50.790923377671994,3.9277176649525205,-2.960912508394763
263,50.716098332151475,3.9262433815421143,-2.9571174374262115
264,50.65305044578397,3.924999454859147,-2.9533367145863054
265,50.56495548553687,3.9232587570123414,-2.9495702317908283
266,50.5215182816329,3.9223993501113252,-2.9458178821722782
267,50.22092114788572,3.9164316958130283,-2.942079560061671
268,50.19737751676651,3.915962784631228,-2.9383551609706884
269,50.1103526540514,3.914227626545181,-2.934644581574153
270,49.92681907382249,3.9105583147687453,-2.930947719692827
271,49.75708768227737,3.907152919432713,-2.92726447427653
272,49.54598836801317,3.9029012962070957,-2.9235947453875677
273,49.451698643864695,3.900996408214131,-2.9199384341844574
274,49.37590598147664,3.8994625720448775,-2.916295442905956
275,49.22114449265671,3.8963232972861666,-2.9126656748553774
276,49.03653175890537,3.8925655664292997,-2.909049034385189
277,48.980708274956754,3.891426511912666,-2.9054454268818906
278,48.7331131754618,3.8863587410339813,-2.901854758751162
279,48.688452194316355,3.885441880704247,-2.898276937403278
280,48.41688161984972,3.8798485467067176,-2.894711871238782
281,48.23755517200007,3.8761378706205347,-2.891159469634414
282,48.157979499799374,3.8744868462126556,-2.8876196429292897
283,48.140140007433914,3.8741163406895813,-2.8840923024113216
284,48.0868589390727,3.873008936855115,-2.880577360303877
285,47.948194326386115,3.870121143193613,-2.877074729752675
286,47.82008796663782,3.8674458015650366,-2.8735843248129065
287,47.81267657622082,3.867290804677364,-2.870106060436582
288,47.549176058434185,3.861764460942935,-2.8666398524600956
289,47.323995672515956,3.8570174749476616,-2.863185617592008
290,47.29251800387995,3.8563521012496835,-2.859743273401035
291,47.165580997572874,3.8536644104309676,-2.8563127383042457
292,46.889060480143854,3.847784396222231,-2.8528939315554602
293,46.87230531764434,3.847426996081239,-2.849486773233846
294,46.81062282570437,3.8461101606219756,-2.8460911842327077
295,46.78299724569451,3.845519830195798,-2.8427070862484674
296,46.52609247424779,3.8400132836980414,-2.839334401769828
297,46.52421749506122,3.8399729833661578,-2.8359730540671233
298,46.51005104666063,3.8396684407770207,-2.832622967181841
299,46.49751731484537,3.839398920089362,-2.8292840659163265
300,46.45870114739439,3.8385637705888938,-2.825956275823652
301,46.454929232527824,3.8384825787367784,-2.8226395231976578
302,46.39800419694779,3.837256445310309,-2.819333735063158
303,46.338348502520425,3.835969879666533,-2.816038839166306
304,46.33526172035868,3.835903263460356,-2.812754763965116
305,46.17309412347636,3.832397250159861,-2.8094814386201468
306,46.12019150619027,3.83125084773808,-2.8062187929853306
307,46.10047357809836,3.8308232227936196,-2.802966757598953
308,45.95933332768796,3.8277569473855313,-2.799725263674782
309,45.94705786088073,3.8274898176087775,-2.7964942430933357
310,45.637542820102766,3.820730685247056,-2.7932736283932935
311,45.45197429031253,3.816656258410802,-2.7900633527630454
312,45.40278757916503,3.8155735035845106,-2.7868633500323745
313,45.34597644875597,3.8143214504366973,-2.7836735546642744
314,45.21298532715896,3.811384331578557,-2.7804939017468944
315,45.20381591297219,3.8111815061281438,-2.7773243269856156
316,45.044832818067405,3.807658278653901,-2.774164766695247
317,44.85349588898914,3.8034015317099445,-2.7710151577923505
318,44.82048505122914,3.8026652905192444,-2.767875437787683
319,44.6304867487669,3.798417184895102,-2.7647455447787554
320,44.57444104578058,3.7971606240358224,-2.7616254174425117
321,44.336935172022244,3.7918180807351947,-2.7585149950281194
322,44.30972193555422,3.791204109758492,-2.755414217349871
323,44.29776716675813,3.7909342732245883,-2.752323024780198
324,44.20722744379279,3.788888292544124,-2.74924135824279
325,44.18901940838293,3.7884763285452947,-2.7461691592058197
326,44.1300819129422,3.787141679453361,-2.7431063696752744
327,44.11525192667992,3.786805571338481,-2.7400529321883837
328,44.041059511013664,3.7851223694900162,-2.7370087898071556
329,44.037667905351185,3.785045356441267,-2.7339738861120018
330,44.011431258081785,3.784449401495783,-2.7309481651954646
331,43.793537833602464,3.7794862684519863,-2.727931571656039
332,43.76988035191991,3.7789459176354376,-2.724924050592084
333,43.73121800371661,3.7780622178546146,-2.721925547595827
334,43.670521320804866,3.776673305159324,-2.718936008747461
335,43.661449218049945,3.776465543838205,-2.7159553806093233
336,43.624147115381206,3.7756108299677256,-2.712983610220166
337,43.48830685826765,3.772492094103415,-2.710020645089509
338,43.48500153218445,3.772416086276509,-2.7070664331920775
339,43.45855347770676,3.771807690282338,-2.7041209229623204
340,43.39082176453151,3.7702479386613748,-2.701184063289011
341,43.35790585150102,3.7694890591823382,-2.6982558035099222
