,S,N
0,2938,1
1,2936,1
2,2934,1
3,2933,1
4,2932,1
5,2931,2
6,2908,1
7,2906,1
8,2897,2
9,2896,1
10,2895,1
11,2894,2
12,2893,2
13,2881,1
14,2879,1
15,2878,1
16,2866,3
17,2864,1
18,2855,2
19,2854,2
20,2851,1
21,2850,2
22,2849,6
23,2848,1
24,2847,4
25,2846,1
26,2838,2
27,2837,1
28,2835,3
29,2834,1
30,2831,1
31,2830,4
32,2829,1
33,2827,1
34,2822,4
35,2821,5
36,2820,6
37,2819,3
38,2818,1
39,2816,3
40,2815,5
41,2814,1
42,2813,2
43,2812,2
44,2811,3
45,2810,2
46,2808,1
47,2807,5
48,2806,2
49,2805,1
50,2803,8
51,2802,3
52,2801,3
53,2800,3
54,2799,1
55,2794,1
56,2793,4
57,2790,2
58,2789,4
59,2788,4
60,2787,3
61,2786,2
62,2785,8
63,2784,3
64,2783,4
65,2782,6
66,2781,5
67,2779,3
68,2778,2
69,2777,2
70,2776,2
71,2774,3
72,2773,1
73,2772,1
74,2770,2
75,2769,1
76,2768,6
77,2767,4
78,2766,2
79,2765,2
80,2763,1
81,2761,1
82,2760,1
83,2759,1
84,2757,1
85,2755,1
86,2753,1
87,2752,3
88,2751,1
89,2748,1
90,2745,3
91,2744,1
92,2743,2
93,2742,1
94,2741,1
95,2739,5
96,2738,2
97,2737,4
98,2736,3
99,2735,9
100,2734,3
101,2733,3
102,2725,7
103,2724,5
104,2723,3
105,2722,4
106,2721,1
107,2720,3
108,2719,4
109,2718,1
110,2717,2
111,2716,8
112,2712,4
113,2711,6
114,2706,1
115,2704,5
116,2703,1
117,2702,1
118,2700,3
119,2698,2
120,2697,2
121,2696,4
122,2694,1
123,2692,1
124,2689,1
125,2688,2
126,2687,2
127,2684,2
128,2683,5
129,2682,3
130,2681,2
131,2680,2
132,2679,4
133,2678,2
134,2677,4
135,2676,2
136,2675,3
137,2674,2
138,2673,5
139,2672,2
140,2670,4
141,2669,1
142,2668,2
143,2667,2
144,2666,2
145,2664,1
146,2663,3
147,2662,4
148,2661,5
149,2660,2
150,2659,3
151,2657,2
152,2656,6
153,2654,5
154,2653,4
155,2652,2
156,2651,6
157,2649,6
158,2648,4
159,2647,5
160,2646,1
161,2645,2
162,2644,2
163,2643,4
164,2642,5
165,2641,2
166,2640,6
167,2639,5
168,2638,2
169,2637,1
170,2636,1
171,2635,1
172,2633,4
173,2632,2
174,2631,3
175,2629,4
176,2628,2
177,2627,5
178,2626,3
179,2625,2
180,2624,2
181,2623,4
182,2622,4
183,2621,2
184,2619,1
185,2618,3
186,2617,2
187,2614,1
188,2613,2
189,2612,4
190,2611,1
191,2610,3
192,2609,6
193,2607,3
194,2606,8
195,2605,1
196,2604,3
197,2602,2
198,2601,5
199,2600,1
200,2599,4
201,2598,4
202,2597,1
203,2596,3
204,2595,2
205,2591,5
206,2590,3
207,2589,3
208,2588,3
209,2587,3
210,2586,3
211,2585,7
212,2584,1
213,2583,2
214,2582,1
215,2581,4
216,2579,7
217,2578,6
218,2577,4
219,2576,1
220,2575,4
221,2574,2
222,2572,1
223,2571,1
224,2570,1
225,2567,2
226,2566,2
227,2565,2
228,2564,1
229,2562,2
230,2558,1
231,2557,4
232,2556,4
233,2555,1
234,2554,4
235,2552,9
236,2550,1
237,2549,3
238,2548,1
239,2547,4
240,2546,3
241,2545,1
242,2544,6
243,2543,4
244,2542,2
245,2541,1
246,2540,6
247,2539,2
248,2538,3
249,2537,6
250,2536,2
251,2535,4
252,2534,5
253,2530,2
254,2529,1
255,2528,3
256,2527,7
257,2526,1
258,2524,1
259,2523,3
260,2522,2
261,2521,6
262,2520,6
263,2519,1
264,2518,3
265,2517,4
266,2516,1
267,2515,1
268,2513,1
269,2512,2
270,2510,1
271,2508,5
272,2507,2
273,2506,2
274,2505,3
275,2504,4
276,2503,1
277,2502,3
278,2501,2
279,2500,1
280,2499,4
281,2498,2
282,2497,4
283,2496,4
284,2495,2
285,2494,3
286,2493,3
287,2491,2
288,2490,1
289,2488,3
290,2487,4
291,2486,2
292,2485,6
293,2484,7
294,2483,4
295,2482,3
296,2481,4
297,2480,3
298,2479,5
299,2478,9
300,2477,2
301,2462,3
302,2461,4
303,2460,3
304,2459,3
305,2458,1
306,2457,2
307,2455,4
308,2453,1
309,2452,1
310,2451,3
311,2450,6
312,2449,2
313,2448,5
314,2446,2
315,2445,6
316,2443,2
317,2442,3
318,2439,3
319,2438,7
320,2437,1
321,2436,1
322,2435,5
323,2434,1
324,2433,3
325,2432,3
326,2427,1
327,2426,1
328,2425,2
329,2424,1
330,2423,8
331,2422,1
332,2421,5
333,2420,2
334,2419,7
335,2418,1
336,2417,2
337,2416,6
338,2415,2
339,2414,4
340,2413,2
341,2412,7
342,2410,1
343,2408,4
344,2407,5
345,2406,4
346,2405,4
347,2404,2
348,2403,2
349,2402,5
350,2401,2
351,2400,3
352,2399,1
353,2396,2
354,2395,1
355,2394,4
356,2393,1
357,2391,1
358,2388,2
359,2387,1
360,2386,2
361,2384,4
362,2382,5
363,2381,1
364,2379,2
365,2378,5
366,2377,4
367,2376,1
368,2375,5
369,2374,1
370,2372,1
371,2371,5
372,2369,1
373,2368,4
374,2363,1
375,2362,2
376,2361,2
377,2359,2
378,2358,2
379,2357,6
380,2355,1
381,2354,3
382,2353,8
383,2352,2
384,2351,5
385,2349,2
386,2348,1
387,2347,7
388,2346,1
389,2345,3
390,2344,5
391,2343,3
392,2342,2
393,2341,1
394,2340,1
395,2338,1
396,2337,5
397,2334,4
398,2332,4
399,2331,1
400,2330,2
401,2322,3
402,2321,2
403,2320,5
404,2316,1
405,2315,5
406,2314,5
407,2310,2
408,2308,3
409,2305,1
410,2301,1
411,2300,1
412,2299,4
413,2297,2
414,2296,1
415,2295,1
416,2294,2
417,2292,6
418,2288,2
419,2287,4
420,2286,3
421,2283,1
422,2282,1
423,2280,1
424,2279,1
425,2277,1
426,2276,1
427,2275,2
428,2274,1
429,2273,2
430,2266,3
431,2265,1
432,2264,1
433,2263,3
434,2262,4
435,2261,1
436,2260,6
437,2259,4
438,2258,1
439,2256,1
440,2254,3
441,2253,5
442,2252,2
443,2251,1
444,2250,1
445,2249,3
446,2248,3
447,2247,4
448,2246,5
449,2245,1
450,2244,1
451,2243,3
452,2242,4
453,2241,2
454,2239,1
455,2238,5
456,2237,5
457,2236,3
458,2235,4
459,2234,5
460,2233,4
461,2232,6
462,2231,3
463,2230,2
464,2228,2
465,2226,7
466,2225,5
467,2222,3
468,2221,1
469,2220,5
470,2219,6
471,2218,1
472,2217,4
473,2213,8
474,2212,4
475,2211,4
476,2210,1
477,2209,5
478,2207,1
479,2206,6
480,2205,1
481,2204,1
482,2203,4
483,2202,2
484,2201,5
485,2200,4
486,2197,1
487,2195,1
488,2194,3
489,2193,2
490,2192,4
491,2191,3
492,2190,3
493,2189,5
494,2188,7
495,2187,1
496,2186,1
497,2185,1
498,2181,1
499,2180,2
500,2179,1
501,2177,1
502,2176,1
503,2174,3
504,2173,4
505,2172,1
506,2170,3
507,2167,7
508,2165,2
509,2164,3
510,2163,1
511,2160,4
512,2156,1
513,2155,4
514,2154,6
515,2153,4
516,2152,3
517,2151,5
518,2150,1
519,2149,4
520,2148,1
521,2147,1
522,2146,2
523,2145,3
524,2144,3
525,2143,5
526,2142,4
527,2141,4
528,2140,9
529,2139,6
530,2138,1
531,2137,5
532,2136,5
533,2135,5
534,2134,3
535,2133,1
536,2132,2
537,2130,3
538,2129,3
539,2128,1
540,2126,1
541,2125,2
542,2119,5
543,2118,4
544,2117,1
545,2116,1
546,2115,1
547,2113,2
548,2112,2
549,2111,5
550,2110,2
551,2109,3
552,2108,4
553,2106,3
554,2105,4
555,2104,2
556,2103,2
557,2102,1
558,2101,1
559,2100,1
560,2099,1
561,2098,2
562,2096,1
563,2095,1
564,2094,3
565,2093,4
566,2089,1
567,2088,6
568,2087,3
569,2086,6
570,2085,1
571,2083,1
572,2082,3
573,2080,4
574,2079,4
575,2078,7
576,2077,3
577,2076,6
578,2075,2
579,2074,4
580,2073,4
581,2072,1
582,2070,4
583,2069,2
584,2066,2
585,2064,4
586,2063,3
587,2062,6
588,2061,1
589,2060,3
590,2059,1
591,2058,5
592,2057,5
593,2054,7
594,2053,6
595,2052,2
596,2051,1
597,2050,4
598,2042,1
599,2041,8
600,2040,1
601,2039,5
602,2038,2
603,2037,3
604,2033,5
605,2031,1
606,2030,1
607,2029,4
608,2028,2
609,2026,1
610,2024,2
611,2023,4
612,2022,5
613,2021,4
614,2020,4
615,2018,2
616,2017,2
617,2015,5
618,2014,4
619,2013,4
620,2012,3
621,2010,6
622,2009,5
623,2008,2
624,2007,1
625,2005,5
626,2004,3
627,2003,3
628,2002,1
629,2001,2
630,2000,1
631,1997,4
632,1996,5
633,1995,2
634,1994,2
635,1991,3
636,1990,3
637,1989,3
638,1988,2
639,1987,3
640,1986,6
641,1983,3
642,1982,7
643,1981,1
644,1980,6
645,1979,4
646,1977,1
647,1976,6
648,1975,1
649,1974,2
650,1972,1
651,1969,2
652,1968,3
653,1967,1
654,1966,5
655,1965,5
656,1964,2
657,1963,3
658,1962,1
659,1961,1
660,1958,5
661,1956,7
662,1955,3
663,1954,7
664,1952,3
665,1951,2
666,1950,4
667,1949,1
668,1947,6
669,1946,5
670,1945,2
671,1944,2
672,1943,7
673,1942,8
674,1941,1
675,1940,2
676,1939,1
677,1936,1
678,1932,1
679,1931,1
680,1930,3
681,1929,1
682,1928,2
683,1927,9
684,1926,7
685,1925,4
686,1924,5
687,1923,3
688,1922,2
689,1921,3
690,1920,6
691,1919,1
692,1918,1
693,1915,5
694,1914,5
695,1913,4
696,1912,4
697,1911,4
698,1910,4
699,1909,6
700,1908,2
701,1907,3
702,1906,2
703,1905,6
704,1903,1
705,1902,1
706,1901,6
707,1900,3
708,1899,3
709,1898,3
710,1897,2
711,1896,1
712,1895,2
713,1894,2
714,1893,1
715,1892,5
716,1891,8
717,1890,3
718,1889,7
719,1888,3
720,1887,1
721,1886,3
722,1885,1
723,1884,1
724,1883,1
725,1882,1
726,1881,5
727,1880,2
728,1879,2
729,1878,1
730,1877,2
731,1876,3
732,1874,5
733,1873,5
734,1872,1
735,1871,4
736,1870,3
737,1869,4
738,1868,2
739,1867,2
740,1866,2
741,1864,1
742,1863,2
743,1862,1
744,1861,4
745,1860,2
746,1859,3
747,1858,4
748,1857,1
749,1856,2
750,1855,3
751,1854,5
752,1853,3
753,1851,1
754,1850,1
755,1849,3
756,1847,2
757,1846,3
758,1843,3
759,1842,4
760,1838,5
761,1835,2
762,1834,1
763,1833,3
764,1831,1
765,1830,1
766,1829,1
767,1828,3
768,1827,5
769,1826,1
770,1825,1
771,1824,1
772,1820,2
773,1819,6
774,1818,1
775,1817,2
776,1816,1
777,1815,1
778,1813,2
779,1810,1
780,1809,2
781,1807,4
782,1803,8
783,1802,5
784,1800,4
785,1799,1
786,1798,5
787,1797,1
788,1796,4
789,1795,4
790,1794,6
791,1793,6
792,1791,3
793,1790,2
794,1789,2
795,1788,1
796,1786,2
797,1785,1
798,1784,3
799,1783,1
800,1782,1
801,1781,4
802,1780,2
803,1779,3
804,1778,5
805,1777,1
806,1776,6
807,1775,3
808,1774,1
809,1773,1
810,1771,1
811,1770,2
812,1769,2
813,1760,1
814,1759,7
815,1757,5
816,1756,1
817,1755,3
818,1753,1
819,1752,2
820,1751,1
821,1748,3
822,1746,6
823,1743,2
824,1742,1
825,1740,5
826,1739,2
827,1738,3
828,1737,5
829,1735,2
830,1734,2
831,1733,4
832,1732,1
833,1729,1
834,1728,1
835,1727,1
836,1726,1
837,1725,5
838,1724,4
839,1723,2
840,1722,2
841,1720,6
842,1719,5
843,1718,5
844,1717,2
845,1716,3
846,1715,2
847,1714,5
848,1713,5
849,1710,4
850,1709,4
851,1708,2
852,1707,6
853,1706,2
854,1705,2
855,1704,5
856,1703,3
857,1702,1
858,1701,4
859,1700,2
860,1699,1
861,1696,2
862,1694,1
863,1692,5
864,1690,5
865,1689,2
866,1688,1
867,1686,1
868,1684,5
869,1683,1
870,1682,4
871,1681,6
872,1680,5
873,1679,1
874,1671,1
875,1670,3
876,1669,4
877,1668,3
878,1667,3
879,1666,1
880,1664,3
881,1663,1
882,1662,1
883,1661,2
884,1660,7
885,1659,3
886,1658,7
887,1656,4
888,1655,3
889,1654,3
890,1653,1
891,1652,3
892,1651,2
893,1650,6
894,1649,1
895,1648,2
896,1647,6
897,1646,5
898,1645,1
899,1644,2
900,1642,5
901,1641,1
902,1639,4
903,1638,1
904,1637,6
905,1636,2
906,1635,6
907,1632,3
908,1629,2
909,1627,1
910,1626,2
911,1625,4
912,1624,1
913,1622,2
914,1621,5
915,1620,3
916,1616,1
917,1614,3
918,1613,4
919,1612,7
920,1611,1
921,1610,1
922,1609,2
923,1608,2
924,1607,8
925,1606,1
926,1605,6
927,1604,4
928,1603,5
929,1602,2
930,1601,1
931,1600,5
932,1599,2
933,1598,3
934,1597,1
935,1595,2
936,1594,8
937,1593,2
938,1592,3
939,1591,6
940,1590,1
941,1587,6
942,1586,4
943,1584,3
944,1582,1
945,1580,2
946,1578,1
947,1577,4
948,1576,2
949,1575,1
950,1574,3
951,1573,3
952,1568,3
953,1566,1
954,1565,1
955,1564,1
956,1563,4
957,1562,4
958,1561,4
959,1560,1
960,1559,3
961,1558,5
962,1557,3
963,1556,2
964,1555,2
965,1553,5
966,1551,3
967,1550,3
968,1549,3
969,1548,1
970,1547,2
971,1546,3
972,1545,3
973,1544,3
974,1543,1
975,1542,1
976,1541,3
977,1540,3
978,1539,7
979,1538,4
980,1537,4
981,1536,2
982,1535,2
983,1534,4
984,1533,5
985,1532,4
986,1531,1
987,1530,4
988,1529,1
989,1528,1
990,1527,2
991,1526,3
992,1525,2
993,1524,4
994,1523,2
995,1522,1
996,1521,1
997,1520,1
998,1519,6
999,1518,4
1000,1517,6
1001,1516,6
1002,1515,3
1003,1514,5
1004,1513,1
1005,1512,4
1006,1511,7
1007,1510,2
1008,1508,4
1009,1507,6
1010,1506,2
1011,1505,4
1012,1504,3
1013,1503,2
1014,1502,6
1015,1501,4
1016,1500,6
1017,1499,3
1018,1498,5
1019,1497,3
1020,1496,1
1021,1495,6
1022,1494,1
1023,1493,2
1024,1492,1
1025,1491,4
1026,1490,4
1027,1489,6
1028,1488,1
1029,1487,3
1030,1485,2
1031,1484,2
1032,1483,3
1033,1482,1
1034,1481,3
1035,1479,1
1036,1478,1
1037,1475,2
1038,1474,2
1039,1473,1
1040,1472,2
1041,1471,6
1042,1470,3
1043,1469,3
1044,1468,2
1045,1467,4
1046,1466,1
1047,1465,1
1048,1464,1
1049,1462,1
1050,1461,2
1051,1460,1
1052,1459,1
1053,1457,2
1054,1456,3
1055,1455,6
1056,1454,6
1057,1453,3
1058,1452,3
1059,1451,1
1060,1450,2
1061,1447,4
1062,1446,3
1063,1445,3
1064,1444,3
1065,1442,3
1066,1441,3
1067,1440,5
1068,1439,3
1069,1438,1
1070,1437,2
1071,1436,4
1072,1435,6
1073,1434,5
1074,1433,5
1075,1432,4
1076,1431,2
1077,1430,3
1078,1429,5
1079,1428,3
1080,1427,1
1081,1426,4
1082,1424,3
1083,1423,5
1084,1421,3
1085,1420,5
1086,1419,4
1087,1418,4
1088,1417,4
1089,1416,2
1090,1415,5
1091,1414,3
1092,1413,3
1093,1412,6
1094,1411,4
1095,1410,6
1096,1409,4
1097,1408,2
1098,1407,1
1099,1406,1
1100,1405,2
1101,1403,5
1102,1402,4
1103,1401,2
1104,1400,2
1105,1399,3
1106,1398,2
1107,1397,1
1108,1396,1
1109,1395,3
1110,1394,1
1111,1393,3
1112,1392,5
1113,1391,1
1114,1390,1
1115,1388,5
1116,1386,1
1117,1385,1
1118,1384,5
1119,1383,2
1120,1382,4
1121,1380,2
1122,1379,5
1123,1378,3
1124,1377,1
1125,1376,7
1126,1375,2
1127,1374,1
1128,1373,2
1129,1372,2
1130,1371,3
1131,1370,3
1132,1369,3
1133,1368,1
1134,1367,6
1135,1366,1
1136,1365,3
