,T,N
0,6,475
1,1,37289
2,2,7997
3,3,2799
4,8,226
5,4,1258
6,17,38
7,5,675
8,7,315
9,12,88
10,9,193
11,11,116
12,10,141
13,83,2
14,25,21
15,47,5
16,23,16
17,57,2
18,56,2
19,63,1
20,29,17
21,68,2
22,52,3
23,183,1
24,75,1
25,13,79
26,176,1
27,41,1
28,20,27
29,67,2
30,33,8
31,36,13
32,19,31
33,14,77
34,37,13
35,69,3
36,27,15
37,60,3
38,58,2
39,18,35
40,31,10
41,24,19
42,38,10
43,28,15
44,65,3
45,30,4
46,16,40
47,26,16
48,54,2
49,22,26
50,39,7
51,191,1
52,21,33
53,53,4
54,34,4
55,35,4
56,45,1
57,70,3
58,194,1
59,50,4
60,15,50
61,32,12
62,59,1
63,55,2
64,49,4
65,43,7
66,51,2
67,40,2
68,42,10
69,140,1
70,76,3
71,119,1
72,62,1
73,121,4
74,102,1
75,127,1
76,98,1
77,86,1
78,61,2
79,99,1
80,79,1
81,106,1
82,110,1
83,78,1
84,123,1
85,118,1
86,116,1
87,82,1
88,101,1
89,84,2
90,46,2
91,94,1
92,64,1
93,72,3
94,74,1
95,48,2
96,71,1
